,d0_Old,d1_Old,d3_Old,d5_Old,d7_Old,d0_Y,d1_Y,d3_Y,d5_Y,d7_Y
ENSMUSG00000092341,0.156511857979572,0.364127782780985,-1.48783337375312,-0.667843125701784,0.716157111846444,-0.493835665251546,0.976880191683067,-1.40418487451375,0.28454537936538,1.55547471556476
ENSMUSG00000102349,0.12570143408368,0.777031684321542,-1.43092606304075,-0.788142603530248,0.849158749432712,-0.602494262200416,0.921888151103419,-1.36238563835228,0.130041907836918,1.38012664034542
ENSMUSG00000086935,-0.317584103106642,0.21652007838451,-1.25146686373404,-1.25146686373404,0.936121520599487,-0.752543197131659,1.35828770003227,-0.650199880969494,0.334854537834937,1.37747707182467
ENSMUSG00000106288,-0.252103469667116,0.208550710741,-0.771386363589015,-1.22366501327979,0.962348460225627,-0.909582617661197,1.02516493934935,-1.15666076904867,0.602200646415461,1.51513347651435
ENSMUSG00000104687,-0.882295831761134,0.857499680827835,-1.04489354330694,-1.0936728567463,0.759941053949128,-0.477834024574462,1.04042210622541,-0.963594687655987,0.288407690783345,1.5160204122591
ENSMUSG00000104389,-0.927846963785668,1.00584460686763,-1.13909058056755,-0.700353837683078,1.20083871481628,-0.505359729734426,0.372113756034511,-1.23658763454187,0.729602953777879,1.20083871481628
ENSMUSG00000097743,-0.674646029292008,0.352864247345188,-1.55904279625516,-0.764091972863439,1.09750172748427,-0.0362256071419013,1.5184566993647,-1.04920091796174,0.263418303773757,0.850966345546332
ENSMUSG00000044730,-1.13738996219815,1.34242849133382,-0.835862713493256,-0.523636110791987,1.33805148288474,-1.2276049696862,0.289757959329308,-0.476948020668433,0.0842817293487309,1.14692211394144
ENSMUSG00000097109,-0.870439571191977,1.40162293445609,-0.861564327117695,-0.874877193362246,1.49481299816795,-0.655214900327144,0.243403571180095,-0.799437618065206,-0.240297235794035,1.16199134205416
ENSMUSG00000106423,-0.0225658047191017,1.1919308789088,-0.930268962926267,-0.930268962926267,0.492137382676447,-0.451062547028027,0.355221263848378,-0.884630256650244,-0.788281876784906,1.96778888560119
ENSMUSG00000111312,-0.442671364464932,1.22105993740256,-0.294123926527623,-1.09628008978478,1.26562416869462,-0.806612586386361,0.0401078081628578,-0.739766239448265,-0.769475726679213,1.62213801903114
ENSMUSG00000111664,-0.264010006197483,0.274262821867624,-1.03297118914764,-1.03297118914764,1.12012012311279,-0.686938656820068,0.00512640783507035,-0.264010006197483,-0.315274084548186,2.19666577924301
ENSMUSG00000087515,-1.16754063398856,0.21740480507655,-1.06543172731871,0.603675327644021,1.33138807228757,-0.833071703105006,-0.0526857053840707,-0.811902783423536,0.0582643383321178,1.71990000987962
ENSMUSG00000085037,-0.907737073067662,0.418324614998049,-1.15381037600769,0.787434569408092,1.17021526287036,-0.709511356810417,-0.340401402400373,-1.07178594169435,0.103897616796901,1.70337408590709
ENSMUSG00000054944,-1.02110047831303,0.701373316491639,-1.02110047831303,0.262311368796331,1.74836719176506,-0.649586522570846,-0.480716542688036,-0.863488497314233,-0.052912593876742,1.37685323602288
ENSMUSG00000108591,-0.870381006159898,0.531198713881452,-1.04366722603502,0.179529620502046,0.898157767842571,-0.630838290328757,0.0686774062846255,-0.967217423126449,-0.309749118112778,2.1442895552522
ENSMUSG00000092405,-0.940655796011895,1.25979589812062,-0.550946760433579,-0.940655796011895,0.361885214794909,-0.0822426500758745,1.71533416268176,-0.846446854972847,-0.866341910854914,0.890274492763707
ENSMUSG00000085471,-0.919277119553844,0.781385551620767,-0.919277119553844,-0.919277119553844,0.459638559776922,-0.229819279888461,1.88451809508538,-0.919277119553844,-0.275783135866153,1.05716868748692
ENSMUSG00000104696,-0.730614260827436,1.13028457930243,-0.772907415852389,-0.772907415852389,-0.646027949508734,-0.201949817305943,2.11360044346575,-0.688321104533688,-0.180803239159069,0.749646180271466
ENSMUSG00000097237,0.0687298581685028,1.14480339305476,-0.542202213468473,-1.08371018593272,0.124269137256757,-0.740060895715025,1.57176160211311,-0.986516447424141,-0.806013789658361,1.24893954160558
ENSMUSG00000086043,-0.868264831730805,1.39078200469414,-0.83583832211705,-0.787198557696417,1.50427478834228,-0.221085744022942,1.2367560840288,-0.929514905427661,-0.53499237179364,0.0450818557232982
ENSMUSG00000101942,-0.942818046019993,1.64211817139153,-0.623770502870104,-1.05350801005766,0.880310772286325,-0.384484845458854,1.3832989909263,-0.858172779517859,-0.434946446616523,0.391972695936835
ENSMUSG00000106205,-0.729652793351506,1.1052304590845,-1.04502335236394,-0.786992894990131,1.17690558613278,0.10177868040856,1.40626599268728,-1.05458003587482,-0.806106262298573,0.632174620565843
ENSMUSG00000092602,-0.458690872013828,0.905752961326135,-0.877327048152226,-0.954852265955633,0.828227743522728,0.0956144352805319,2.11127009816911,-0.789465134590014,-0.696434873225926,-0.164095044360882
ENSMUSG00000111345,-0.406977047124088,1.18994606616963,-1.41995066386301,-1.07136856635865,0.626851908662591,0.139730772406497,1.32848510492137,-1.1756452621337,0.832425966165163,-0.043498278845795
ENSMUSG00000110038,-0.237169344434098,0.579650045868337,-1.10066412834808,-1.10066412834808,0.0107936848054885,-0.474922131178944,1.74799349512819,-1.0656575830519,1.27978095179184,0.360859137767241
ENSMUSG00000105731,-0.0321062906031167,0.748517243000288,-0.535734376591725,-1.21563229284632,-0.0446969926300726,0.172492619506812,2.2121863682706,-1.19045088841469,0.345614773982769,-0.460190163674547
ENSMUSG00000100548,-0.942800304733724,0.711235317606143,-0.753767662180596,-0.682880421223174,0.876638879840129,-0.83646944329759,1.78635847212706,0.522202675053015,-1.17909110792513,0.498573594733874
ENSMUSG00000104528,-1.04838348868144,0.746146807259766,-1.04838348868144,-1.04838348868144,0.462799918426944,-1.04838348868144,0.840595770204041,1.02949369609259,-0.29279178512725,1.40728954786969
ENSMUSG00000085148,-0.194753316568573,-0.170836301784908,-1.38655604193188,-0.384976231040797,2.11487468222903,0.163630837246619,0.466321068061536,-1.29851174209605,0.013382058906757,0.677424986978258
ENSMUSG00000074415,-0.465507075930581,0.640936133551188,-1.27935321950736,-0.566268979421039,2.18918153526035,0.00632991445262544,0.16134822751487,-1.16954858110119,0.00471514034530897,0.478166904835832
ENSMUSG00000055323,-0.364805727641789,0.154426964461532,-1.45698483889557,0.382710303270455,1.90012308476506,-0.516994620270594,-0.0872848060420332,-1.17051162932034,0.0111903598082014,1.14813090986508
ENSMUSG00000085586,-0.355032418500512,0.701611684463369,-1.60609903677898,-0.109890986742733,1.51311435566947,-0.743877448622499,0.777690059888941,-1.09890986727517,-0.135250445217923,1.05664410311604
ENSMUSG00000097729,0.333253019359749,-0.0165281197648895,-1.31955895643733,-1.06587153690818,1.92072126573042,-0.4950748429676,0.104549966828567,-0.965934068685695,0.725315394995704,0.779127877849255
ENSMUSG00000093858,0.144242653335692,-0.397513790472843,-1.29141192230998,-0.641304190064789,1.75596807258934,-0.478777257003492,0.801122340854222,-1.23723627768533,1.09231642898483,0.252593941772345
ENSMUSG00000086347,-0.390789109534698,-0.416380075891311,-0.971854580599292,-0.671537063826278,1.91841926503573,-0.550732649184501,1.23988231924407,-0.828846239263755,-0.314016210510017,0.985854344530054
ENSMUSG00000056445,-0.65785932244385,-0.518777013259104,-1.04728978816114,-1.04728978816114,1.76217285737074,-0.29624531856351,1.27538477522412,-0.305517472694603,-0.231340240758518,1.066761311447
ENSMUSG00000105112,-0.7649996691182,-0.0873529033941198,-0.976764283406976,-0.309705748397334,2.27382254592572,-0.246176364110701,0.976764283406976,-0.708529105237272,-0.652058541568108,0.494999785900012
ENSMUSG00000097215,-0.689206697280918,-0.689206697280918,-0.689206697280918,-0.689206697280918,2.23667079117581,0.1885565492561,0.903771046434411,-0.689206697280918,-0.559167697793952,0.676202797332221
ENSMUSG00000097008,-0.603450610460133,0.280035077839776,-0.672560484577619,-1.05079695789041,1.5268145639449,-0.245293357316876,1.83500724590346,-1.01250635196878,-0.356896464893278,0.299647339418957
ENSMUSG00000096950,-0.274185350806252,0.0169849331327166,-1.00211106065367,-0.783733347699448,2.0551769207055,-0.0194113523596546,1.36364749635045,-0.905054298855402,-0.613884014916433,0.162570075102201
ENSMUSG00000109302,-0.824526960930675,0.371369325858376,-0.824526960930675,-0.714559486283406,2.33703793517831,-0.528989372816139,0.976190436418356,-0.457968712198084,-0.293017500227181,-0.0410087040688829
ENSMUSG00000104293,-0.764384872526877,-0.309651662293294,-0.634461098174425,-0.764384872526877,2.41874759910821,-0.504537323821972,0.924624194055003,-0.417921473820592,-0.287997699468139,0.339967209468968
ENSMUSG00000102258,-0.811950225823211,0.479788769804624,-0.688927464334845,-1.05799574879994,2.01757328840919,-0.996484368055758,1.12565826761854,0.00820151722751985,-0.340362973246106,0.264498937199985
ENSMUSG00000086401,-0.830440460121552,0.359049854126685,-0.863481857739559,-1.25997862915564,1.61462296361094,-0.714795568458529,1.46593667432991,-0.522054082463629,0.491215444598712,0.259925661272666
ENSMUSG00000056418,-1.62573567112086,0.0808705381575508,-1.00731390894946,0.170065984641732,2.11452671799689,-0.436463051450702,0.526847770578458,0.0392459963460053,-0.353213968184393,0.491169591984786
ENSMUSG00000108037,-1.01883120140096,-0.40263919106655,-0.898009238590288,-0.42076248548815,2.17086861680067,-0.336187111520683,0.144080190651721,-0.825516060903887,0.672676277948393,0.914320203569728
ENSMUSG00000097641,-0.636421610624186,8.54721683915365e-17,-0.73907025737985,-0.708275663322357,2.35578644539827,-0.638987826692995,0.100082430686855,-0.73907025737985,-0.0102648645831825,1.01622160389729
ENSMUSG00000108388,-0.786018470450466,-0.156644250327684,-0.61818534508439,-0.786018470450466,2.2769360674804,-0.712591478102808,0.231469852081365,-0.786018470450466,0.444757782094224,0.892312783210285
ENSMUSG00000103138,-1.03991146007405,0.0451201253431136,-0.953968364397262,-0.921739703437895,1.65655317331146,-0.486652780486441,0.480207048294568,-0.803567946801741,0.657464683571086,1.36649522467716
ENSMUSG00000108120,-0.846474809974394,-0.407822500670683,-0.0850406127533824,-0.904410020543452,1.9013094667377,-0.718189700591164,0.914341770990566,-0.846474809974394,-0.25056978612707,1.24333100290628
ENSMUSG00000097090,-0.5678419450116,-0.57380667144542,-0.734854281937607,-0.538018313558267,2.27136778058322,-0.878007713486218,0.678785854604927,-0.508194682104934,-0.078734387459101,0.929304359814996
ENSMUSG00000105553,-0.634126715570676,-0.634126715570676,-0.246873759496981,-0.634126715570676,2.36708369400046,-0.634126715570676,0.188785816085926,-0.634126715570676,-0.246873759496981,1.10851158676095
ENSMUSG00000104761,-1.02656361531853,0.453225433898945,-0.757511060915349,-0.219405952108996,2.20206703751959,-0.983323026218015,-0.358736739210641,-0.302684123645919,-0.0464435957069543,1.03937564170586
ENSMUSG00000085564,-0.777619641119249,0.555442600771763,-0.777619641119249,-0.777619641119249,2.2278297769623,-0.523125940394601,-0.462532202126828,-0.486769697433937,-0.0666531119491257,1.08866749752817
ENSMUSG00000107374,-0.732614140324225,0.281774669371898,-0.839391909765922,-0.732614140324225,1.88344121099736,-0.7059196979638,0.00593209831418065,-0.542786994768738,-0.269910472743537,1.65208937720701
ENSMUSG00000097574,-0.455786575205803,-0.811012788627455,-0.591608362722818,0.199814745004623,1.9942295140104,-1.13620149130754,0.0783587235216987,-0.9416106611375,0.515861596657589,1.1479552998068
ENSMUSG00000103135,-1.28388114200206,-0.348861496506105,-1.02887578413953,-0.497614621925916,1.69118136639416,-0.890747881963989,0.288651898150229,0.1328152904259,0.586158148989852,1.35117422257745
ENSMUSG00000105975,-1.04388645447269,-0.439221734302164,-0.439221734302164,-1.04388645447269,2.08021459974169,-0.741554094387427,-0.313249917599971,0.63573776855914,0.333405408473877,0.971662612762396
ENSMUSG00000078190,-0.379320127563555,-0.648998956371148,-1.14453380424316,0.0083431887651921,2.24836296026826,0.233356461523401,-0.305158449684447,-0.827661180467555,-0.264706625368364,1.08031653314138
ENSMUSG00000087502,-0.843841700714184,-0.30122296488808,-0.676882089690767,0.510386255364638,2.3330286757036,-0.463544808938624,-0.475139226370806,-0.577943060905232,-0.506830634049687,1.00198955448914
ENSMUSG00000097635,-0.784170640402302,-0.127273768811863,-0.933465383762358,0.432581519348203,1.86581105703797,-0.0376969227062522,-0.27283614373348,-0.918535909560717,-0.754311691551137,1.52989788414193
ENSMUSG00000106137,-0.510734034398785,-0.510734034398785,-0.510734034398785,-0.510734034398785,2.25603310118058,-0.510734034398785,-0.364011534784727,-0.287156891850274,-0.510734034398785,1.45953953184713
ENSMUSG00000097422,-0.519936474345076,-0.519936474345076,-0.167437169704346,-0.519936474345076,2.21193313662058,-0.519936474345076,-0.431811648184894,-0.519936474345076,-0.519936474345076,1.50693452733912
