,d0_Old,d0_Y,d1_Old,d1_Y,d3_Old,d3_Y,d5_Old,d5_Y,d7_Old,d7_Y
ENSMUSG00000092341,0.156511857979572,-0.493835665251546,0.364127782780985,0.976880191683067,-1.48783337375312,-1.40418487451375,-0.667843125701784,0.28454537936538,0.716157111846444,1.55547471556476
ENSMUSG00000102349,0.12570143408368,-0.602494262200416,0.777031684321542,0.921888151103419,-1.43092606304075,-1.36238563835228,-0.788142603530248,0.130041907836918,0.849158749432712,1.38012664034542
ENSMUSG00000086935,-0.317584103106642,-0.752543197131659,0.21652007838451,1.35828770003227,-1.25146686373404,-0.650199880969494,-1.25146686373404,0.334854537834937,0.936121520599487,1.37747707182467
ENSMUSG00000106288,-0.252103469667116,-0.909582617661197,0.208550710741,1.02516493934935,-0.771386363589015,-1.15666076904867,-1.22366501327979,0.602200646415461,0.962348460225627,1.51513347651435
ENSMUSG00000104687,-0.882295831761134,-0.477834024574462,0.857499680827835,1.04042210622541,-1.04489354330694,-0.963594687655987,-1.0936728567463,0.288407690783345,0.759941053949128,1.5160204122591
ENSMUSG00000104389,-0.927846963785668,-0.505359729734426,1.00584460686763,0.372113756034511,-1.13909058056755,-1.23658763454187,-0.700353837683078,0.729602953777879,1.20083871481628,1.20083871481628
ENSMUSG00000097743,-0.674646029292008,-0.0362256071419013,0.352864247345188,1.5184566993647,-1.55904279625516,-1.04920091796174,-0.764091972863439,0.263418303773757,1.09750172748427,0.850966345546332
ENSMUSG00000044730,-1.13738996219815,-1.2276049696862,1.34242849133382,0.289757959329308,-0.835862713493256,-0.476948020668433,-0.523636110791987,0.0842817293487309,1.33805148288474,1.14692211394144
ENSMUSG00000097109,-0.870439571191977,-0.655214900327144,1.40162293445609,0.243403571180095,-0.861564327117695,-0.799437618065206,-0.874877193362246,-0.240297235794035,1.49481299816795,1.16199134205416
ENSMUSG00000106423,-0.0225658047191017,-0.451062547028027,1.1919308789088,0.355221263848378,-0.930268962926267,-0.884630256650244,-0.930268962926267,-0.788281876784906,0.492137382676447,1.96778888560119
ENSMUSG00000111312,-0.442671364464932,-0.806612586386361,1.22105993740256,0.0401078081628578,-0.294123926527623,-0.739766239448265,-1.09628008978478,-0.769475726679213,1.26562416869462,1.62213801903114
ENSMUSG00000111664,-0.264010006197483,-0.686938656820068,0.274262821867624,0.00512640783507035,-1.03297118914764,-0.264010006197483,-1.03297118914764,-0.315274084548186,1.12012012311279,2.19666577924301
ENSMUSG00000087515,-1.16754063398856,-0.833071703105006,0.21740480507655,-0.0526857053840707,-1.06543172731871,-0.811902783423536,0.603675327644021,0.0582643383321178,1.33138807228757,1.71990000987962
ENSMUSG00000085037,-0.907737073067662,-0.709511356810417,0.418324614998049,-0.340401402400373,-1.15381037600769,-1.07178594169435,0.787434569408092,0.103897616796901,1.17021526287036,1.70337408590709
ENSMUSG00000054944,-1.02110047831303,-0.649586522570846,0.701373316491639,-0.480716542688036,-1.02110047831303,-0.863488497314233,0.262311368796331,-0.052912593876742,1.74836719176506,1.37685323602288
ENSMUSG00000108591,-0.870381006159898,-0.630838290328757,0.531198713881452,0.0686774062846255,-1.04366722603502,-0.967217423126449,0.179529620502046,-0.309749118112778,0.898157767842571,2.1442895552522
ENSMUSG00000092405,-0.940655796011895,-0.0822426500758745,1.25979589812062,1.71533416268176,-0.550946760433579,-0.846446854972847,-0.940655796011895,-0.866341910854914,0.361885214794909,0.890274492763707
ENSMUSG00000085471,-0.919277119553844,-0.229819279888461,0.781385551620767,1.88451809508538,-0.919277119553844,-0.919277119553844,-0.919277119553844,-0.275783135866153,0.459638559776922,1.05716868748692
ENSMUSG00000104696,-0.730614260827436,-0.201949817305943,1.13028457930243,2.11360044346575,-0.772907415852389,-0.688321104533688,-0.772907415852389,-0.180803239159069,-0.646027949508734,0.749646180271466
ENSMUSG00000097237,0.0687298581685028,-0.740060895715025,1.14480339305476,1.57176160211311,-0.542202213468473,-0.986516447424141,-1.08371018593272,-0.806013789658361,0.124269137256757,1.24893954160558
ENSMUSG00000086043,-0.868264831730805,-0.221085744022942,1.39078200469414,1.2367560840288,-0.83583832211705,-0.929514905427661,-0.787198557696417,-0.53499237179364,1.50427478834228,0.0450818557232982
ENSMUSG00000101942,-0.942818046019993,-0.384484845458854,1.64211817139153,1.3832989909263,-0.623770502870104,-0.858172779517859,-1.05350801005766,-0.434946446616523,0.880310772286325,0.391972695936835
ENSMUSG00000106205,-0.729652793351506,0.10177868040856,1.1052304590845,1.40626599268728,-1.04502335236394,-1.05458003587482,-0.786992894990131,-0.806106262298573,1.17690558613278,0.632174620565843
ENSMUSG00000092602,-0.458690872013828,0.0956144352805319,0.905752961326135,2.11127009816911,-0.877327048152226,-0.789465134590014,-0.954852265955633,-0.696434873225926,0.828227743522728,-0.164095044360882
ENSMUSG00000111345,-0.406977047124088,0.139730772406497,1.18994606616963,1.32848510492137,-1.41995066386301,-1.1756452621337,-1.07136856635865,0.832425966165163,0.626851908662591,-0.043498278845795
ENSMUSG00000110038,-0.237169344434098,-0.474922131178944,0.579650045868337,1.74799349512819,-1.10066412834808,-1.0656575830519,-1.10066412834808,1.27978095179184,0.0107936848054885,0.360859137767241
ENSMUSG00000105731,-0.0321062906031167,0.172492619506812,0.748517243000288,2.2121863682706,-0.535734376591725,-1.19045088841469,-1.21563229284632,0.345614773982769,-0.0446969926300726,-0.460190163674547
ENSMUSG00000100548,-0.942800304733724,-0.83646944329759,0.711235317606143,1.78635847212706,-0.753767662180596,0.522202675053015,-0.682880421223174,-1.17909110792513,0.876638879840129,0.498573594733874
ENSMUSG00000104528,-1.04838348868144,-1.04838348868144,0.746146807259766,0.840595770204041,-1.04838348868144,1.02949369609259,-1.04838348868144,-0.29279178512725,0.462799918426944,1.40728954786969
ENSMUSG00000085148,-0.194753316568573,0.163630837246619,-0.170836301784908,0.466321068061536,-1.38655604193188,-1.29851174209605,-0.384976231040797,0.013382058906757,2.11487468222903,0.677424986978258
ENSMUSG00000074415,-0.465507075930581,0.00632991445262544,0.640936133551188,0.16134822751487,-1.27935321950736,-1.16954858110119,-0.566268979421039,0.00471514034530897,2.18918153526035,0.478166904835832
ENSMUSG00000055323,-0.364805727641789,-0.516994620270594,0.154426964461532,-0.0872848060420332,-1.45698483889557,-1.17051162932034,0.382710303270455,0.0111903598082014,1.90012308476506,1.14813090986508
ENSMUSG00000085586,-0.355032418500512,-0.743877448622499,0.701611684463369,0.777690059888941,-1.60609903677898,-1.09890986727517,-0.109890986742733,-0.135250445217923,1.51311435566947,1.05664410311604
ENSMUSG00000097729,0.333253019359749,-0.4950748429676,-0.0165281197648895,0.104549966828567,-1.31955895643733,-0.965934068685695,-1.06587153690818,0.725315394995704,1.92072126573042,0.779127877849255
ENSMUSG00000093858,0.144242653335692,-0.478777257003492,-0.397513790472843,0.801122340854222,-1.29141192230998,-1.23723627768533,-0.641304190064789,1.09231642898483,1.75596807258934,0.252593941772345
ENSMUSG00000086347,-0.390789109534698,-0.550732649184501,-0.416380075891311,1.23988231924407,-0.971854580599292,-0.828846239263755,-0.671537063826278,-0.314016210510017,1.91841926503573,0.985854344530054
ENSMUSG00000056445,-0.65785932244385,-0.29624531856351,-0.518777013259104,1.27538477522412,-1.04728978816114,-0.305517472694603,-1.04728978816114,-0.231340240758518,1.76217285737074,1.066761311447
ENSMUSG00000105112,-0.7649996691182,-0.246176364110701,-0.0873529033941198,0.976764283406976,-0.976764283406976,-0.708529105237272,-0.309705748397334,-0.652058541568108,2.27382254592572,0.494999785900012
ENSMUSG00000097215,-0.689206697280918,0.1885565492561,-0.689206697280918,0.903771046434411,-0.689206697280918,-0.689206697280918,-0.689206697280918,-0.559167697793952,2.23667079117581,0.676202797332221
ENSMUSG00000097008,-0.603450610460133,-0.245293357316876,0.280035077839776,1.83500724590346,-0.672560484577619,-1.01250635196878,-1.05079695789041,-0.356896464893278,1.5268145639449,0.299647339418957
ENSMUSG00000096950,-0.274185350806252,-0.0194113523596546,0.0169849331327166,1.36364749635045,-1.00211106065367,-0.905054298855402,-0.783733347699448,-0.613884014916433,2.0551769207055,0.162570075102201
ENSMUSG00000109302,-0.824526960930675,-0.528989372816139,0.371369325858376,0.976190436418356,-0.824526960930675,-0.457968712198084,-0.714559486283406,-0.293017500227181,2.33703793517831,-0.0410087040688829
ENSMUSG00000104293,-0.764384872526877,-0.504537323821972,-0.309651662293294,0.924624194055003,-0.634461098174425,-0.417921473820592,-0.764384872526877,-0.287997699468139,2.41874759910821,0.339967209468968
ENSMUSG00000102258,-0.811950225823211,-0.996484368055758,0.479788769804624,1.12565826761854,-0.688927464334845,0.00820151722751985,-1.05799574879994,-0.340362973246106,2.01757328840919,0.264498937199985
ENSMUSG00000086401,-0.830440460121552,-0.714795568458529,0.359049854126685,1.46593667432991,-0.863481857739559,-0.522054082463629,-1.25997862915564,0.491215444598712,1.61462296361094,0.259925661272666
