ENSGID	Gene	d0_A_Rep1	d0_A_Rep2	d0_A_Rep4	d0_Y_Rep2	d0_Y_Rep3	d0_Y_Rep4	d0_Y_Rep5	d0_Y_Rep6	d1_A_Rep1	d1_A_Rep2	d1_Y_Rep1	d1_Y_Rep2	d1_Y_Rep4	d3_A_Rep1	d3_A_Rep2	d3_A_Rep3	d3_A_Rep4	d3_Y_Rep1	d3_Y_Rep2	d3_Y_Rep3	d5_A_Rep1	d5_A_Rep2	d5_Y_Rep1	d5_Y_Rep2	d5_Y_Rep3	d7_A_Rep1	d7_A_Rep2	d7_A_Rep4	d7_Y_Rep1	d7_Y_Rep2	d7_Y_Rep3	d21_A_Rep1	d21_A_Rep2	d21_Y_Rep2	d21_Y_Rep3
ENSMUSG00000019947	Arid5b	40.6597695500765	52.6791508738966	35.4843509329376	92.0929797634024	57.1740887848979	63.459372934208	82.0838038761109	74.7036228804215	24.0743174279789	21.8793208023119	51.5546579017523	49.2660309725561	50.8692948831161	10.1367998040061	16.426658743616	23.1233535247933	16.183309003447	13.6090999392255	12.5701753989618	19.8065158138779	23.9354042838633	22.5891308986223	29.3418521509787	25.7739103037236	45.671974551027	37.9635165706116	38.7371830084858	49.9099771786406	48.4278740118006	41.5485717081598	39.2666887825152	46.6375869146172	59.7921104315867	17.7689143338516	28.2581288475282
ENSMUSG00000023027	Atf1	35.1428192405327	41.6022119827477	43.3091941680813	62.216154610419	35.1230457892409	41.6182460307995	37.7576793482554	58.7916652327424	47.9764925740061	49.778811349286	53.3341481160935	55.6004750534201	57.0977367625939	34.0130001523698	36.9439208117816	39.6766013309428	34.9981406786343	31.8691217182126	30.7271963584087	30.4750927438372	28.2164314013678	27.0494900525316	52.6547818735947	53.4026628769339	48.8144595004113	45.5800619343332	46.7818350563815	32.1494195302041	57.7336448914906	46.8817916220444	39.8941847563501	35.9269029547674	38.9243921741427	42.2367301448861	77.0601338099481
ENSMUSG00000026628	Atf3	1110.95938320594	1017.55433555482	1365.07405667595	961.791644943222	849.799095825319	1022.46715493272	724.114587909132	1839.69617992738	573.455291624684	637.453731679887	1347.36347417361	1496.05999976732	1336.6427133563	242.054320916818	215.337113105501	190.507154436718	104.970117030413	126.806580981589	123.19397827858	115.108219161572	1278.38816910953	1225.0809050307	270.999620864515	258.065217049353	238.726692110823	538.402189889356	556.812324444814	551.519172893677	519.960437817548	837.312919336302	477.156800286927	1097.52066098376	1288.28745080508	804.16931432676	923.542988809438
ENSMUSG00000042406	Atf4	776.916418426192	728.978276099216	735.576091559781	776.199688204476	573.987993546845	595.224719461842	588.804618604593	844.471448976911	596.422884200638	563.267521924991	837.235606666267	825.418978888356	833.653964299036	326.310343475893	341.372172306427	397.747617890801	293.340989226243	255.407714704865	249.980553272176	300.635829259505	390.264412914545	370.120033769315	387.486350271978	367.902079179297	406.491783660095	505.181646464728	507.958088289505	563.233708373602	570.862934057213	528.625669073768	399.267199031002	676.553143034831	840.562655125613	772.177540563452	737.834134742661
ENSMUSG00000023964	Calcr	27.397319101074	29.8196797024078	47.8225278890085	75.971642998813	71.5177808234908	48.7343782435543	63.6950275992199	73.5004911862575	6.70378645385626	9.67851257739098	40.4334953339846	47.2847499075934	39.5680780044091	6.54851207192827	7.70401897098539	6.45115552247099	2.14139726278318	8.2572967034886	7.9968411113782	6.92578131385166	2.95190984732946	2.02162083163633	23.0002285795497	18.9939611548428	22.1415311768895	34.2335966838126	34.4337683525818	36.3261995861738	13.2809279744604	7.58267615131642	10.2995928924666	105.3861780153	102.141194368778	102.198858862135	105.751174648366
ENSMUSG00000029705	Cux1	70.9494735333969	86.9984540087428	108.592499237621	102.692960652386	112.600022544122	85.919759004511	110.245968451327	117.504320025361	54.2980756810317	52.2788073369535	92.4879567122977	96.7462169690752	95.9243408418466	31.5583234632491	43.6681861963398	30.5034396200284	22.6449872404336	34.0827952544208	29.2370050257392	37.0638931410497	43.4336299137832	42.4615066105807	84.4622730294624	65.5056018708569	80.5265544972765	86.3879452960362	87.660019340459	72.9654769967855	55.4455513943506	48.1141755681371	54.1599313922552	103.691621502941	104.851775150373	103.756096889692	125.573256455229
ENSMUSG00000025408	Ddit3	135.713696096684	103.874222405718	129.325563758977	53.1189369553258	43.0975189818134	52.6003311600017	40.8058579447573	65.5371278864993	93.603345529799	84.280045533505	83.3353916894517	107.638694141195	80.6328161801305	52.0326877635486	48.0593656466397	51.9115321721848	40.3088263165771	32.9990748585445	32.4177470812397	31.4474408109776	78.0845242104342	66.1637845984509	63.4960651909497	55.0145490232882	50.7227183602059	92.4874293329992	95.2155083491824	62.3386159056274	109.258169366185	119.82801761947	99.8810114733356	103.181182683735	120.076492546586	52.5751571610396	46.181780968651
ENSMUSG00000021250	Fos	3629.10608204387	2717.63085316253	4557.57512456189	1820.72476299905	3186.5585679297	1964.06934514383	1274.2133389643	6387.4479427453	1122.88325782992	1485.79275325587	3591.25050033635	3637.35690433053	3592.07629984138	827.147422114496	689.122242626454	539.486029316743	323.116675570166	597.829655729625	559.656004811588	442.094042859681	2421.52776390725	2277.06301332414	825.930401124871	745.254387665256	515.724945343226	911.117641059415	910.72180876673	1462.4632851389	1052.52966832641	1448.90703447778	468.269329614802	4069.6342696529	4425.8637968706	3486.90696567742	6423.92325106262
ENSMUSG00000001517	Foxm1	1.11711516095911	1.92976153956358	1.82632639228803	1.58864616942758	5.49557839014931	2.9949175701472	6.54004817342635	2.73082696329276	13.1741781997935	16.0404909545559	1.8446069519227	2.47779403397811	3.17881127980714	27.5223162009375	56.6156333483949	25.6890274381361	30.3960020240424	24.8997315083279	23.3284290135596	51.2643452296845	2.4834683184088	2.01036441187007	8.47126086834001	7.89556850528282	19.1400880962662	10.5047638169282	12.7117273623817	6.836459047718	6.0346137664512	7.71135530690097	13.9827956742263	1.35078218827057	2.77129865372503	0.832408294926424	0.903772040496374
ENSMUSG00000048756	Foxo3	4.38170083491004	4.28280921385202	3.41311902184399	3.21013399098495	10.3501156689573	5.47670346491222	5.21811844356193	8.42615597316344	5.12087913400511	3.46079200667436	11.2807412226401	8.75434645774371	12.4562769656247	3.02559825632831	3.59812789591742	4.15513075788248	4.40940867721118	2.78126922191941	2.92386362223175	2.83584922598203	2.35782023531654	3.06342264367519	3.8283990144419	3.79381694745901	4.64875011220715	3.26492797346663	3.54039930552566	5.62371441683762	5.34604585767786	6.56332646974484	3.04496606304647	4.53162830774018	5.30250528004312	3.83536058708148	5.18027072063797
