"","d0_Old_Rep1","d0_Old_Rep2","d0_Old_Rep3","d0_Old_Rep4","d0_Y_Rep4","d1_Old_Rep1","d1_Old_Rep2","d1_Y_Rep1","d1_Y_Rep2","d3_Old_Rep1","d3_Old_Rep2","d3_Old_Rep3","d3_Old_Rep4","d3_Y_Rep1","d3_Y_Rep2","d3_Y_Rep3","d3_Y_Rep4","d5_Old_Rep1","d5_Old_Rep2","d5_Old_Rep3","d5_Old_Rep4","d5_Y_Rep1","d5_Y_Rep2","d5_Y_Rep3","d7_Old_Rep1","d7_Old_Rep2","d7_Y_Rep1"
"d0_Old_Rep1",1,0.973392304446457,0.999991432657205,0.744935841043591,0.906009868177056,0.753921443010227,0.775579492264362,0.749669851251378,0.750196340449797,0.781268741310757,0.796396609992031,0.78273347961909,0.798413932230463,0.745676954049331,0.757139696435865,0.745687436455445,0.757140897545119,0.812165258524221,0.813457220752133,0.812127806005677,0.813420742321405,0.775680626730175,0.776073645916264,0.775713491982317,0.760010486762712,0.773500756742519,0.762013739709153
"d0_Old_Rep2",0.973392304446457,1,0.97338804365557,0.700522600218735,0.855940233158249,0.734488827057833,0.744388071417311,0.734774400655302,0.72468580182625,0.760319751567883,0.783145546057004,0.761418171426233,0.78495270755288,0.692386338736651,0.783651248854246,0.692393783681465,0.78365199699247,0.793006657551887,0.791216921238362,0.792978095181084,0.791188721321784,0.750544335258034,0.762945865460335,0.750570145012368,0.734842634989708,0.736549396020081,0.756249264781605
"d0_Old_Rep3",0.999991432657205,0.97338804365557,1,0.744928605849629,0.906004962405438,0.753944257790957,0.775584148301357,0.74967155322602,0.750197991894763,0.781268133727437,0.796394568663911,0.782731089347011,0.798411218969895,0.745683010586319,0.757139527389505,0.745680353109691,0.757139159122934,0.812157161772878,0.813451337459981,0.812153127043943,0.813445863349199,0.77570418180959,0.776082796405312,0.775710789747741,0.760004181729797,0.773493686041787,0.762008645864284
"d0_Old_Rep4",0.744935841043591,0.700522600218735,0.744928605849629,1,0.65134887602929,0.519197805811725,0.672328893649686,0.577634982218071,0.611871452069288,0.609618643658307,0.619760860394258,0.611065842907074,0.621605168030523,0.618252731344891,0.569632945308364,0.618260711186477,0.569633928361553,0.636362006674384,0.620999885771649,0.636333670022078,0.620972204913084,0.628792588275695,0.620507466909319,0.628817361432857,0.733652001903874,0.545082658354678,0.568267560820787
"d0_Y_Rep4",0.906009868177056,0.855940233158249,0.906004962405438,0.65134887602929,1,0.69257119146293,0.701441794527542,0.798465822177876,0.768099828404004,0.74364853680126,0.73227730106163,0.743189368147278,0.734886162710272,0.826389517468543,0.758123104840899,0.826395794055618,0.758123886257325,0.759196846305287,0.761521048779948,0.759168360729314,0.761492864446692,0.831538611455263,0.816173700037228,0.831564332775739,0.727281244542395,0.785991749448573,0.800516573225053
"d1_Old_Rep1",0.753921443010227,0.734488827057833,0.753944257790957,0.519197805811725,0.69257119146293,1,0.925140424774078,0.79755376270661,0.831065212780733,0.743513021504968,0.725814876981457,0.744309918272254,0.727647702497287,0.693420954669878,0.65421078852861,0.693405804579017,0.65420897792897,0.74682536132885,0.762300019509137,0.746854262610806,0.762325287348149,0.696372967220936,0.666643718717238,0.696353211761492,0.681203515297819,0.671829415427357,0.761898281367921
"d1_Old_Rep2",0.775579492264362,0.744388071417311,0.775584148301357,0.672328893649686,0.701441794527542,0.925140424774078,1,0.854375969512984,0.918541270386088,0.761148547138219,0.782751812626264,0.762591869100129,0.784655116158109,0.739162918636523,0.701452805180126,0.739161394580141,0.70145261189014,0.788644318081449,0.792527058400906,0.788637464617328,0.792519097369317,0.745207792734511,0.738086230328247,0.745216259652039,0.783985347190123,0.744257687086619,0.746745347487114
"d1_Y_Rep1",0.749669851251378,0.734774400655302,0.74967155322602,0.577634982218071,0.798465822177876,0.79755376270661,0.854375969512984,1,0.85302015343267,0.776220572165982,0.740644214283646,0.776873450375271,0.743119850800829,0.782844901257088,0.797046895599028,0.782845163741862,0.797046859360971,0.776518615484969,0.759284293646952,0.776506366824543,0.759271238250265,0.81820621548102,0.809173653376107,0.818218989661224,0.787750723975662,0.788730366914538,0.774883164321131
"d1_Y_Rep2",0.750196340449797,0.72468580182625,0.750197991894763,0.611871452069288,0.768099828404004,0.831065212780733,0.918541270386088,0.85302015343267,1,0.697545923848799,0.771073810068264,0.697706206060552,0.773184089095513,0.780552314310963,0.766224599936001,0.780552585167902,0.766224591003304,0.751469313083214,0.760935459121339,0.751457023974501,0.760922427566729,0.79318817566129,0.811200002997558,0.793200903380228,0.748906818539059,0.779388393965583,0.789674713139383
"d3_Old_Rep1",0.781268741310757,0.760319751567883,0.781268133727437,0.609618643658307,0.74364853680126,0.743513021504968,0.761148547138219,0.776220572165982,0.697545923848799,1,0.944806127557492,0.954535701889809,0.944749520015915,0.906753183495696,0.87803859713458,0.906754380422384,0.878038713209415,0.875624758532805,0.869171484173803,0.875607206889153,0.869153431933076,0.840298781265075,0.817915557545439,0.840316023003329,0.827329827112622,0.799519015722409,0.801720973410266
