"d3_O_vs_d1_O"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"
2.27693238074021	6.94875449862852	29.4229063567132	3.64280717368881e-13	1.31137415445623e-08	20.6208882286749	"ENSMUSG00000001864"
3.52295531025759	7.36503681387422	22.8690612717135	8.74197276222038e-12	1.04900759155724e-07	17.5105879374187	"ENSMUSG00000030730"
2.94972158733953	7.09758149587511	21.1335721101274	2.34966505948918e-11	2.11463981191378e-07	16.5831451609589	"ENSMUSG00000006457"
4.0388816126651	7.10428045520117	20.5488324373438	3.33622940497782e-11	2.40201844699593e-07	16.2363219276152	"ENSMUSG00000060600"
2.06304549896487	4.92125217481104	19.0766105817147	8.42307943355565e-11	4.23137806060734e-07	15.191625295668	"ENSMUSG00000074221"
5.68787901582537	-5.74751476603061	25.4800374061989	2.24380955555868e-12	4.03874500952785e-08	15.0046825669644	"ENSMUSG00000021056"
-2.73510242346648	4.66127701290868	-18.4768638130092	1.25236843557722e-10	5.0093345902605e-07	14.5438587580129	"ENSMUSG00000073599"
-2.40742710650436	8.54603692091576	-17.7700742254148	2.03029668374834e-10	6.0907208598547e-07	14.3224602733881	"ENSMUSG00000024750"
4.57723036454078	6.83588558562434	17.5666200407781	2.3409745472346e-10	6.2465714994271e-07	14.2395921378905	"ENSMUSG00000068614"
-3.87090615140053	7.64345720820098	-17.3997650477841	2.63394612759756e-10	6.25698322948062e-07	14.163074815719	"ENSMUSG00000024529"
2.30813731388228	6.90133681031803	17.2483190027375	2.93415033226212e-10	6.25698322948062e-07	14.0678769540704	"ENSMUSG00000039883"
-2.11327172254347	11.795298286235	-17.9858278970061	1.74862717630804e-10	6.0907208598547e-07	14.067714415729	"ENSMUSG00000019929"
-2.41916481787292	6.75086220330416	-16.9700256102071	3.58606659977386e-10	7.1719339736255e-07	13.8717792493643	"ENSMUSG00000026365"
3.0556036418331	3.34396025912446	17.2385358925334	2.95476860193813e-10	6.25698322948062e-07	13.7209585923929	"ENSMUSG00000026564"
-2.3872428474654	4.37402910178382	-16.7425968244833	4.23458357791014e-10	7.66852074485044e-07	13.6745870276564	"ENSMUSG00000031987"
-1.69651490767818	5.57129593840174	-16.6534745445024	4.52216753706492e-10	7.66852074485044e-07	13.6381373894847	"ENSMUSG00000032018"
3.92406793401202	3.72720985346109	16.7173993231338	4.31384457013242e-10	7.66852074485044e-07	13.5212914710546	"ENSMUSG00000044716"
3.28099694015141	4.09724868043833	16.6052569871862	4.68644841208672e-10	7.66852074485044e-07	13.4304862935916	"ENSMUSG00000037568"
