"d1_Y_vs_d0_Y"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"
-2.30601592656601	11.795298286235	-20.2360154731036	4.04012653158661e-11	4.42052346620045e-07	15.37117911768	"ENSMUSG00000019929"
9.01942665293013	-1.22075285139444	19.9214028714256	4.91182917992216e-11	4.42052346620045e-07	15.0931084263235	"ENSMUSG00000040809"
10.2990830192865	0.352320033105954	20.56348290078	3.30667523292707e-11	4.42052346620045e-07	14.8288908454888	"ENSMUSG00000055541"
3.36296740090259	5.89686495807189	18.0362951954575	1.68899932757266e-10	7.29513070057331e-07	14.6116261477218	"ENSMUSG00000030560"
8.81653035868136	-4.78138918942871	23.4883976839998	6.24982886898945e-12	2.24987589454751e-07	14.1357401531704	"ENSMUSG00000033765"
9.16718682102486	-0.33675858794641	17.6093362892219	2.2717410959006e-10	7.29513070057331e-07	13.8213949775895	"ENSMUSG00000044811"
10.6532994143486	-0.198543098779477	17.5126094437233	2.43177778290729e-10	7.29513070057331e-07	13.5739340925938	"ENSMUSG00000033777"
6.58390973802846	-2.06163373285752	17.9782527518149	1.75777095206606e-10	7.29513070057331e-07	13.525544185085	"ENSMUSG00000022534"
6.36646574394788	-5.43542553498606	17.7009285286219	2.13059789318586e-10	7.29513070057331e-07	13.3793807073372	"ENSMUSG00000055561"
8.33282110409399	-1.17537752276439	17.7168188432866	2.10708536228927e-10	7.29513070057331e-07	13.2361318807149	"ENSMUSG00000040907"
5.76904136754874	0.880906458388477	18.1814308278768	1.52937688673197e-10	7.29513070057331e-07	13.1978368688703	"ENSMUSG00000030525"
8.26979433592568	-1.01346498251333	16.5789152106649	4.77889589104155e-10	1.14690315454403e-06	12.904889655057	"ENSMUSG00000028874"
-1.54247442214904	8.7333574965784	-15.8315240215128	8.42021918376484e-10	1.595365633665e-06	12.6800236999627	"ENSMUSG00000031740"
10.8444786945422	-3.83133076335714	18.0467222028844	1.67695429325223e-10	7.29513070057331e-07	12.6526433695665	"ENSMUSG00000074199"
7.4133271303523	-1.12915999163071	17.1213591787439	3.21419743535688e-10	8.90060719041632e-07	12.5915394272222	"ENSMUSG00000027843"
3.94550197693291	3.55222170859869	15.7193139951914	9.18684840438622e-10	1.6535867785475e-06	12.4882104297907	"ENSMUSG00000000031"
8.43319554104723	-0.808771129713584	15.5967840806924	1.01104696931608e-09	1.65439453856407e-06	12.441301021034	"ENSMUSG00000089929"
8.51957127287026	-0.736188645940164	15.6062169084091	1.0035936804927e-09	1.65439453856407e-06	12.4344299879759	"ENSMUSG00000030142"
-1.35149410045042	7.87422610977459	-15.1860969549565	1.40091468995709e-09	2.01726111695061e-06	12.3252730403176	"ENSMUSG00000031431"
5.1779825389836	-3.46351665889386	16.7269306840914	4.28367693012242e-10	1.10148632719626e-06	12.1517174982917	"ENSMUSG00000035448"
10.3566270472069	-1.22371241709443	16.2643738777269	6.04777109122854e-10	1.35118903298272e-06	12.054892098435	"ENSMUSG00000022126"
5.2682188809221	-5.49488054249028	16.1935417521198	6.38079212219958e-10	1.35118903298272e-06	11.9891553364369	"ENSMUSG00000050296"
-5.10686024846602	5.51668686067825	-14.3543660619621	2.78068846141774e-09	3.45179323870957e-06	11.8273479525509	"ENSMUSG00000020218"
2.87059542783111	7.09758149587511	14.1033805891854	3.44372862963533e-09	3.99905764316911e-06	11.5949249911217	"ENSMUSG00000006457"
6.42157771574143	-2.31637783178113	14.428666829325	2.61176922713342e-09	3.357895728842e-06	11.3052161275991	"ENSMUSG00000056071"
6.31432984079565	-2.74213767100468	14.2786964287816	2.96483562486668e-09	3.55770392198586e-06	11.2392631099231	"ENSMUSG00000026581"
5.90070579893927	-5.35309161225864	16.1166692940633	6.76463666463345e-10	1.35288975161189e-06	11.2102631685449	"ENSMUSG00000030484"
7.24053130980561	1.7290063149858	13.961569265901	3.89185496654391e-09	4.24554202850346e-06	11.1756542435359	"ENSMUSG00000004730"
6.37199253651463	-3.57300218388658	15.2058635028555	1.3788456116653e-09	2.01726111695061e-06	11.1274047914885	"ENSMUSG00000004359"
8.69199662123764	-0.308187109988582	13.7468005155346	4.69389215636554e-09	4.6937617704723e-06	11.0962368097634	"ENSMUSG00000032089"
5.18192940791808	-2.3738949527797	14.8828771742826	1.79152738568836e-09	2.48050747528443e-06	10.9901729122865	"ENSMUSG00000002668"
7.32641958524847	-4.14832683115606	15.460635915004	1.12550957353585e-09	1.76161822337901e-06	10.7826763891321	"ENSMUSG00000020010"
2.41717844569526	6.90133681031803	13.2167588307323	7.53805938081404e-09	6.78406499124812e-06	10.7776246958757	"ENSMUSG00000039883"
5.76403107298581	0.362430124643115	13.7537548537411	4.66531057746294e-09	4.6937617704723e-06	10.7716741856222	"ENSMUSG00000028976"
6.37933275664306	1.01094663485936	13.8430371241899	4.31450449150828e-09	4.56817197617078e-06	10.7074412275724	"ENSMUSG00000002111"
2.59055491076721	4.64985724531918	12.9440560633737	9.68121742064798e-09	8.10498013781178e-06	10.6099603080932	"ENSMUSG00000026536"
7.4483043479715	-2.46689821575986	13.3766421581591	6.52308443812205e-09	6.02114145353732e-06	10.5613576536778	"ENSMUSG00000095788"
5.63132872111089	1.94292709467395	13.0096856813771	9.11163428949592e-09	7.8097553044658e-06	10.5528039411215	"ENSMUSG00000035615"
7.11537248584571	1.0726170014458	13.486421899864	5.91163875737854e-09	5.60034430597027e-06	10.4993774669456	"ENSMUSG00000024696"
6.05892313304994	-4.52814084578174	14.0125395259496	3.72397279386323e-09	4.18935301894632e-06	10.4958579487461	"ENSMUSG00000023132"
