GeneID	D0	D1	D3	D5	D7
ENSMUSG00000052613	5.125541125714285	0.41666666666666663	0.1066666667	0.23519458543147206	0.41666666666666663
ENSMUSG00000052629	6.761904762857142	6.0	0.19999999999999998	0.0	6.0
ENSMUSG00000052632	0.9603658536585367	2.1396551724137933	0.20981387478849406	0.21009098429280396	2.1396551724137933
ENSMUSG00000052656	0.27780872794707523	3.273012552301255	1.5435435435435434	0.30460440985797665	3.273012552301255
ENSMUSG00000052658	2.0627027027027025	1.4256756756756757	0.31264367813793104	1.457627118644068	1.4256756756756757
ENSMUSG00000052675	0.6725317692668622	1.7175324675324675	2.2488888888000003	1.4560669456066946	1.7175324675324675
ENSMUSG00000052681	0.7221175450483411	2.9351296242353624	0.24279402147038653	0.7516085127442929	2.9351296242353624
ENSMUSG00000052684	0.38011568557903974	2.0543918918918918	0.3871003351074315	0.40420120628701306	2.0543918918918918
ENSMUSG00000052688	0.360497792051385	3.6221436343852016	0.11570383762018244	1.8998477929954338	3.6221436343852016
ENSMUSG00000052698	1.1061535963633706	1.6407345722300142	6.775910364151261	0.8745845674631847	1.6407345722300142
ENSMUSG00000052748	0.7170845321249486	2.90595009596929	0.49833181680618743	0.638736808697929	2.90595009596929
ENSMUSG00000052751	0.2636122177988048	0.8477011494252874	3.4561251086012166	1.016147279648257	0.8477011494252874
ENSMUSG00000052752	0.284654466184273	0.43307902628329514	1.6453539294529818	1.099442642043424	0.43307902628329514
ENSMUSG00000052760	0.3322615219935692	1.125	0.13078149918660287	1.149284253619632	1.125
ENSMUSG00000052767	0.3888888883333333	0.125	0.0366666667	0.15555555533333332	0.125
ENSMUSG00000052785	0.0	0.0	0.0	0.03	0.0
ENSMUSG00000052798	0.18984741783890846	0.2830007674597083	5.718284424379233	1.1470218873331541	0.2830007674597083
ENSMUSG00000052812	0.3024875621970149	0.9540682414698162	2.1583652618390805	0.5807940904847646	0.9540682414698162
ENSMUSG00000052821	0.029212310902451747	3.057228915662651	0.07655502392344499	0.3165735567970205	3.057228915662651
ENSMUSG00000052833	0.5833252450742502	0.27338285199806084	3.942317317317317	1.164372207734247	0.27338285199806084
ENSMUSG00000052837	0.44679291731234555	1.6981954971377402	0.36590730401378935	0.5063250552043316	1.6981954971377402
