Gene	Control	Injured
Mef2d	12.27	14.145
Spi1	0.515	2.025
Mef2c	66.07	54.295
Snai3	0.0	0.605
Myod1	33.545	49.77
Birc5	7.88	33.185
Fos	1229.175	1106.7
Ankrd2	1.155	71.02
Tead4	0.305	1.375
Mef2a	71.7	80.07
Smad3	3.995	5.195
Myf6	0.55	20.23
Runx2	0.975	8.995
Jun	266.185	267.985
Smyd1	0.165	0.89
Ankrd23	10.1	108.505
