Gene	Control	Injured
Akt2	42.935	54.47
Cdc6	1.64	1.995
Socs2	61.105	49.525
Mdm2	39.835	40.575
Gadd45g	145.56	226.315
Myc	141.665	163.93
Cdc25b	4.52	4.225
Mki67	3.235	7.2
Tgfbr2	27.39	25.92
Ccnd3	64.545	70.78
Grn	56.345	110.26
Ttk	1.89	3.93
Ppp2r3a	12.745	7.6
Jun	266.185	267.985
Rhob	23.205	20.33
Akt2-ps	0.425	0.63
