Gene	Control	Injured
mt-Rnr1	1678.235	888.0
mt-Rnr2	10104.41	6283.97
mt-Nd1	6214.955	5098.51
mt-Nd2	2400.175	1528.635
mt-Co1	23884.5	23173.23
mt-Co2	26481.665	26369.705
mt-Atp8	15360.175	16844.82
mt-Atp6	9613.07	10763.125
mt-Co3	31380.575	22388.135
mt-Nd3	1103.28	551.495
mt-Nd4	5467.505	4456.345
mt-Nd5	3188.6	2809.29
mt-Nd6	1426.13	909.145
mt-Cytb	22616.24	21089.74
mt-Nd4l	93.99	51.245
